sl no,work,status,year,garam,work type,Total
,(1504009014/IF/93393042892455926),,,,,
576,ಚಿಲಮೂರ ಗ್ರಾಮದ ಫಕೀರಪ್ಪ ಮಾರುತಿ ಬಿಲಕಂಚಿ ಇವರ ದನದ ಶೇಡ್ಡು ನಿರ್ಮಾಣ,Approved,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892455927),,,,,
577,ಚಿಲಮೂರ ಗ್ರಾಮದ ಮಾರುತಿ ಫಕೀರಪ್ಪ ಕಟಗಿ ಇವರ ದನದ ಶೇಡ್ಡು ನಿರ್ಮಾಣ,Approved,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892455928),,,,,
578,ನರಸಾಪೂರ ಗ್ರಾಮದ ವಿಠ್ಠಲ ಯ ಕಳ್ಳೆಪ್ಪನ್ನವರ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,Approved,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892455934),,,,,
579,ನರಸಾಪೂರ ಗ್ರಾಮದ ಲಕ್ಕಪ್ಪ ಮಹಾದೇವಪ್ಪ ಬಾಂಗಿ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,New,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892464185),,,,,
580,ನರಸಾಪೂರ ಗ್ರಾಮದ ಮುತ್ತಪ್ಪ ಬಾಳಪ್ಪ ಪೂಜೇರ ಇವರ ಹೊಲದಲ್ಲಿ ದನದ ಕೊಟ್ಟಿಗೆ ನಿರ್ಮಾಣ,physical complete,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0.1925
,(1504009014/IF/93393042892464186),,,,,
581,ನರಸಾಪೂರ ಗ್ರಾಮದ ಶಂಕರ ಶಿವಪ್ಪ ಹಳ್ಳಿ ಇವರ ಜಮೀನದಲ್ಲಿ ಬದು ನಿರ್ಮಾಣ,physical complete,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0.28875
,(1504009014/IF/93393042892465074),,,,,
582,ನರಸಾಪೂರ ಗ್ರಾಮದ ಮಾರತಿ ಮಿಲಾನಟ್ಟಿ ಇವರ ಜಮೀನದಲ್ಲಿ ಬದು ನಿರ್ಮಾಣ,physical complete,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0.2695
,(1504009014/IF/93393042892465075),,,,,
583,ಪೀರನಗುಡಿ ನಾಗೇಶ ದು ಬಂಡಿವಡ್ಡರ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,On Going,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0.1925
,(1504009014/IF/93393042892465578),,,,,
584,ಪೀರನಗುಡಿ ಮದರಸಾಬ ಜಂಗ್ಲಿಸಾಬ ಮಕಾನದಾರ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,New,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892465579),,,,,
585,ಚಿಲಮೂರ ಗ್ರಾಮದ ಕಲ್ಲವ್ವ ಯಲ್ಲಪ್ಪ ಹುಚಕೆಂಚನ್ನವರ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,New,2019-2020,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892465580),,,,,
586,ಪೀರನಗುಡಿ ಬುಡನಸಾಬ ಅ ಮಕಾನದಾರ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.17325
,(1504009014/IF/93393042892467000),,,,,
587,ಪೀರನಗುಡಿ ಅಬ್ದುಲರಜಾಕ ಜಂ ಯಾದವಾಡ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.1925
,(1504009014/IF/93393042892467001),,,,,
588,ಪೀರನಗುಡಿ ಗ್ರಾಮದ ಸುಲೇಮಾನ ಇ ಮಕಾನದಾರ ಇವರ ಜಮೀನದಲ್ಲಿ ಬದು ನಿರ್ಮಾಣ,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.28875
,(1504009014/IF/93393042892467017),,,,,
589,ಪೀರನಗುಡಿ ಗ್ರಾಮದ ಈರಪ್ಪ ಬೇಳ್ಳಕ್ಕಿ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892467019),,,,,
590,ನರಸಾಪೂರ ಗ್ರಾಮದ ಲಕ್ಕಪ್ಪ ಮಾದೇವಪ್ಪ ಬಾಂಗಿ ಇವರ ದನದ ಶೆಡ್ಡು ನಿರ್ಮಾಣ,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.1925
,(1504009014/IF/93393042892468621),,,,,
591,ಚಿಲಮೂರ ಗ್ರಾಮದ ಮಾಯವ್ವ ಬಸವರಾಜ ರೋಟ್ಟಿ ಇವರ ಮನೆ ನಿರ್ಮಾಣ,On Going,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.143
,(1504009014/IF/93393042892470197),,,,,
592,ಚಿಲಮೂರ ಗ್ರಾಮದ ಪಾರ್ವತೆವ್ವ ಸಿದ್ದಪ್ಪ ಕುಂಬಾರ ಇವರ ಮನೆ ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892470704),,,,,
593,ನರಸಾಪೂರ ಗ್ರಾಮದ ಬಸವರಾಜ ಅಪ್ಪಣ್ಣ ಕಡಕೋಳ ಇವರ ಹೊಲದಲ್ಲಿ ದನದ ಕೋಟ್ಟಿಗೆ ನಿರ್ಮಾಣ,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892471055),,,,,
594,ನರಸಾಪೂರ ಗ್ರಾಮದ ವಿಲಾಸ ಅಪ್ಪಣ್ಣ ಕಡಕೋಳ ಇವರ ಹೊಲದಲ್ಲಿ ದನದ ಕೋಟ್ಟಿಗೆ ನಿರ್ಮಾಣ,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892471057),,,,,
595,ನರಸಾಪೂರ ಗ್ರಾಮದ ಬಸನಗೌಡ ದ್ಯಾಮನಗೌಡ ಪಾಟೀಲ ಇವರ ಜಮೀನದಲ್ಲಿ ಬದು ನಿರ್ಮಾಣ,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.462
,(1504009014/IF/93393042892473934),,,,,
596,ಪೀರನಗುಡಿ ಗ್ರಾಮದ ರಸುಲಬಿ ರಾಜೇಸಾಬ ಹೊಸಮನಿ ಇವರ ಮನೆ ನಿರ್ಮಾಣ,On Going,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.143
,(1504009014/IF/93393042892479161),,,,,
597,ನರಸಾಪೂರ ಗ್ರಾಮದ ವೆಂಕನಗೌಡ ಬ ಪಾಟೀಲ ಇವರ ಹೊಲದಲ್ಲಿ ದನದ ಕೊಟ್ಟಿಗೆ ನಿರ್ಮಾಣ,On Going,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.1925
,(1504009014/IF/93393042892482052),,,,,
598,ನರಸಾಪೂರ ಗ್ರಾಮದ ಮಾರುತಿ ಬ ಬಾಣಿ ಇವರ ಹೊಲದಲ್ಲಿ ದನದ ಕೊಟ್ಟಿಗೆ ನಿರ್ಮಾಣ,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.1925
,(1504009014/IF/93393042892482057),,,,,
599,ನರಸಾಪೂರ ಗ್ರಾಮದ ಯಲ್ಲಪ್ಪ ಸಿದಪ್ಪ ಬಾಣಿ ಇವರ ಜಮೀನದಲ್ಲಿ ದನದ ಶೇಡ್ಡು ನಿರ್ಮಾಣ,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892482059),,,,,
600,ಚಿಲಮೂರ ಗ್ರಾಮದ ಯಲ್ಲಮ್ಮ ಫಕೀರಪ್ಪ ಮಲ್ದೂರ ಇವರ ಮನೆ ನಿರ್ಮಾಣ 1264304,On Going,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.154
,(1504009014/IF/93393042892482894),,,,,
601,ನರಸಾಪೂರ ಗ್ರಾಮದ ಭೀಮಪ್ಪ ಅ ಇಂಚಲ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892485189),,,,,
602,ನರಸಾಪೂರ ಗ್ರಾಮದ ಭೀಮಪ್ಪ ಅ ಇಂಚಲ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.1925
,(1504009014/IF/93393042892485193),,,,,
603,ನರಸಾಪೂರ ಗ್ರಾಮದ ಶಂಕರಗೌಡ ದ್ಯಾ ಪಾಟೀಲ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892485812),,,,,
604,ನರಸಾಪೂರ ಗ್ರಾಮದ ಅರ್ಜುಣ ಬಾ ಹಳ್ಳಿ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892485815),,,,,
605,ಚಿಲಮೂರ ಗ್ರಾಮದ ಯಂಕಪ್ಪ ಭಗವಂತಪ್ಪ ಹುಚಕೆಂಚನ್ನವರ ಇವರ ಬದು ನಿರ್ಮಾಣ,On Going,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.1925
,(1504009014/IF/93393042892490064),,,,,
606,ನಿಂಗಪ್ಪ ಭೀಮಪ್ಪ ಹಳ್ಳಿ ಇವರ ಜಮೀನದಲ್ಲಿ ಬದು ನಿರ್ಮಾಣ,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.09625
,(1504009014/IF/93393042892490695),,,,,
607,ಶಿವಪ್ಪ ದುಂಡಪ್ಪ ಯಾದವಾಡ ಇವರ ಜಮೀನದಲ್ಲಿ ಬದು ನಿರ್ಮಾಣ,On Going,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.40425
,(1504009014/IF/93393042892490696),,,,,
608,ಮಲ್ಲವ್ವ ಅರ್ಜುಣ ಮಾದರ ಇವರ ಜಮೀನದಲ್ಲಿ ಬದು ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892490697),,,,,
609,ವೀರುಪಾಕ್ಷಪ್ಪ ದುಂಡಪ್ಪ ಯಾದವಾಡ ಇವರ ಜಮೀನದಲ್ಲಿ ಬದು ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892490698),,,,,
610,ಗೂಳಪ್ಪ ಶಿವಪ್ಪ ಹಳ್ಳಿ ಇವರ ಜಮೀನದಲ್ಲಿ ಬದು ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892490699),,,,,
611,ಸುರೇಶ ಶಂಕ್ರಪ್ಪ ಬಳಿಗೇರ ಇವರ ಜಮೀನದಲ್ಲಿ ಬದು ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892490700),,,,,
612,ಶೇಖರಗೌಡ ಶಿ ಪಾಟೀಲ ಇವರ ಜಮೀನದಲ್ಲಿ ಬದು ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892490701),,,,,
613,ಬಸಪ್ಪ ಬಸವಂತಪ್ಪ ಹಳ್ಳಿ ಇವರ ಜಮೀನದಲ್ಲಿ ಬದು ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892490702),,,,,
614,ಮಹಾದೇವ ಬಸಪ್ಪ ಹಳ್ಳಿ ಇವರ ಜಮೀನದಲ್ಲಿ ಬದು ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892490703),,,,,
615,ಪ್ರಕಾಶ ರಾಮಣ್ಣ ಬಾಣಿ ಹಳ್ಳಿ ಇವರ ಜಮೀನದಲ್ಲಿ ಬದು ನಿರ್ಮಾಣ,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892490704),,,,,
616,ಸೈಯದಗೋರಿ ಮುದೋಳ ಇವರ ಜಮೀನದಲ್ಲಿ ಬದು ನಿರ್ಮಾಣ,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892490705),,,,,
617,ನರಸಾಪೂರ ಗ್ರಾಮದ ಬಸನಗೌಡ ಶಿ ಪಾಟೀಲ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.1925
,(1504009014/IF/93393042892490711),,,,,
618,ನರಸಾಪೂರ ಮಹಾದೇವಿ ಶೇಖಪ್ಪ ತೂತಗಡಗಿ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.1925
,(1504009014/IF/93393042892490712),,,,,
619,ಯಲ್ಲವ್ವ ಲಕ್ಷ್ಮಣ ಮಾದರ ಇವರ ಜಮೀನದಲ್ಲಿ ಬದು ನಿರ್ಮಾಣ,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892490717),,,,,
620,ಕೃಷ್ಣಪ್ಪ ಬಾರ್ಕಿ ಇವರ ಜಮೀನದಲ್ಲಿ ಬದು ನಿರ್ಮಾಣ,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892490719),,,,,
621,ಶಿವಾನಂದ ಬಾರ್ಕಿ ಇವರ ಜಮೀನದಲ್ಲಿ ಬದು ನಿರ್ಮಾಣ,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892490720),,,,,
622,ಬಾಬು ಸಿ ಬಾಣಿ ಹಳ್ಳಿ ಇವರ ಜಮೀನದಲ್ಲಿ ಬದು ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892490722),,,,,
623,ಚಿನಗಿಸಾಬ ದಾದಾಪೀರ ಮಕಾನದಾರ ಇವರ ಜಮೀನದಲ್ಲಿ ಬದು ನಿರ್ಮಾಣ,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892490723),,,,,
624,ಮಹಾದೇವ ಬಸಪ್ಪ ಹಳ್ಳಿ ಇವರ ಜಮೀನದಲ್ಲಿ ಕೃಷಿ ಹೊಂಡ ನಿರ್ಮಾಣ,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892490724),,,,,
625,ಬಸಪ್ಪ ಬಸವಂತಪ್ಪ ಹಳ್ಳಿ ಇವರ ಜಮೀನದಲ್ಲಿ ಕೃಷಿ ಹೊಂಡ ನಿರ್ಮಾಣ,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.231
,(1504009014/IF/93393042892490725),,,,,
626,ಈರಪ್ಪ ಶಂಕ್ರಪ್ಪ ಬಳಿಗೇರ ಇವರ ಜಮೀನದಲ್ಲಿ ಕೃಷಿ ಹೊಂಡ ನಿರ್ಮಾಣ,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892490726),,,,,
627,ಚನ್ನಮಲ್ಲಪ್ಪ ಮಲ್ಲಪ್ಪ ನಕಾತಿ ಇವರ ಜಮೀನದಲ್ಲಿ ಬದು ನಿರ್ಮಾಣ,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892490728),,,,,
628,ಬಸಪ್ಪ ಫಕೀರಪ್ಪ ತೂತಗಡಗಿ ಇವರ ಜಮೀನದಲ್ಲಿ ಬದು ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892490729),,,,,
629,ಯಲ್ಲವ್ವ ಲಕ್ಷ್ಮಣ ಮಾದರ ಇವರ ಜಮೀನದಲ್ಲಿ ಬದು ನಿರ್ಮಾಣ,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892494376),,,,,
630,ಯಲ್ಲಪ್ಪ ಶಿವಪ್ಪ ಕಡ್ಲೆಪ್ಪನವರ ಇವರ ಜಮೀನದಲ್ಲಿ ಕೃಷಿ ಹೊಂಡ ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892494380),,,,,
631,ಶಿವಪ್ಪ ಕರಬಸಪ್ಪ ಕಡ್ಲೆಪ್ಪನವರ ಇವರ ಜಮೀನದಲ್ಲಿ ಬದು ನಿರ್ಮಾಣ,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.48125
,(1504009014/IF/93393042892494390),,,,,
632,ಮಲ್ಲಿಕಾರ್ಜುಣ ಬಾ ಹಳ್ಳಿ ಇವರ ಜಮೀನದಲ್ಲಿ ಕೃಷಿ ಹೊಂದ ನಿರ್ಮಾಣ,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892494392),,,,,
633,ಬಸವರಾಜ ಶಿ ಕಡ್ಲೆಪ್ಪನವರ ಇವರ ಜಮೀನದಲ್ಲಿ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.1925
,(1504009014/IF/93393042892494393),,,,,
634,ಸಿದ್ದಪ್ಪ ಶಿವಪ್ಪ ಕಡ್ಲೆಪ್ಪನವರ ಇವರ ಜಮೀನದಲ್ಲಿ ಬದು ನಿರ್ಮಾಣ,On Going,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.44275
,(1504009014/IF/93393042892494394),,,,,
635,ಶಂಕರಗೌಡ ದ್ಯಾ ಪಾಟೀಲ ಇವರ ಜಮೀನದಲ್ಲಿ ಬದು ನಿರ್ಮಾಣ,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892494400),,,,,
636,ಬಾಳಪ್ಪ ಮಾಹಾದೇವಪ್ಪ ಹಳ್ಳಿ ಇವರ ಜಮೀನದಲ್ಲಿ ಬದು ನಿರ್ಮಾಣ,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892494401),,,,,
637,ಭೀಮಪ್ಪ ದುಂಡಪ್ಪ ಬೀಡಕಿ ಇವರ ಜಮೀನದಲ್ಲಿ ಬದು ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892494429),,,,,
638,ಈರಪ್ಪ ದುಂಡಪ್ಪ ಬೀಡಕಿ ಇವರ ಜಮೀನದಲ್ಲಿ ಬದು ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892494430),,,,,
639,ಶಿವಲಿಂಗಪ್ಪ ದುಂಡಪ್ಪ ಬೀಡಕಿ ಇವರ ಜಮೀನದಲ್ಲಿ ಬದು ನಿರ್ಮಾಣ,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.36575
,(1504009014/IF/93393042892494433),,,,,
640,ಬಸಪ್ಪ ರಾಮಪ್ಪ ಜೋಗಿ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892494434),,,,,
641,ಅಜ್ಜಪ್ಪ ಯಲ್ಲಪ್ಪ ಮೇಟ್ಟಿನ ಇವರ ಜಮೀನದಲ್ಲಿ ಬದು ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892494437),,,,,
642,ಸತ್ಯವ್ವ ಅಜ್ಜಪ್ಪ ಮೇಟ್ಟಿಣ ಇವರ ಜಮೀನದಲ್ಲಿ ಬದು ನಿರ್ಮಾಣ,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892494438),,,,,
643,ಮಹಾದೇವಿ ಯಂಕಪ್ಪ ವಾಲಿಕಾರ ಇವರ ಜಮೀನದಲ್ಲಿ ಬದು ನಿರ್ಮಾಣ,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892494439),,,,,
644,ಗಿರಿಯಪ್ಪ ಯಲ್ಲಪ್ಪ ಮೇಟ್ಟಿಣ ಇವರ ಜಮೀನದಲ್ಲಿ ಬದು ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892494440),,,,,
645,ಅಜ್ಜಪ್ಪ ಯಲ್ಲಪ್ಪ ಮೇಟ್ಟಿಣ ಇವರ ಜಮೀನದಲ್ಲಿ ಕೃಷಿ ಹೊಂಡ ನಿರ್ಮಾಣ,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892494442),,,,,
646,ಯಲ್ಲವ್ವ ಬಸಲಿಂಗಪ್ಪ ಹಡಪದ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892494448),,,,,
647,ದ್ಯಾಮಣ್ಣ ಯ ಪೊತ್ತೆನ್ನವರ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892494484),,,,,
648,ನರಸಾಪೂರ ಗ್ರಾಮದ ಈರಣ್ಣ ಸಿ ಹುರಕಡ್ಲಿ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892495195),,,,,
649,ನರಸಾಪೂರ ಗ್ರಾಮದ ಬಾಳನಗೌಡ ಬ ಪಾಟೀಲ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.385
,(1504009014/IF/93393042892495197),,,,,
650,ರಾಮಣ್ಣ ಮಾರುತಿ ಹಳ್ಳಿ ಇವರ ಜಮೀನದಲ್ಲಿ ಬದು ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892495198),,,,,
651,ದ್ಯಾಮವ್ವ ಬಸಪ್ಪ ಹಳೆತೋರಗಲ್ ಇವರ ಜಮೀನದಲ್ಲಿ ಬದು ನಿರ್ಮಾಣ,physical complete,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0.462
,(1504009014/IF/93393042892496946),,,,,
652,ರಮೇಶ ನಿಂಗಪ್ಪ ಕೊಪ್ಪದ ಇವರ ಜಮೀನದಲ್ಲಿ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892496948),,,,,
653,ನರಸಾಪೂರ ಗ್ರಾಮದ ಮಕ್ತುಮಪಟೇಲ ದಿ ಬಿ ಪಾಟೀಲ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892496950),,,,,
654,ಜಯರಾಮ ಬಸಪ್ಪ ಬಾಣಿ ಇವರ ಜಮೀನದಲ್ಲಿ ಬದು ನಿರ್ಮಾಣ,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892496969),,,,,
655,ವಿಠ್ಠಲ ಯಮನಪ್ಪ ಗೋಡಚಿ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892496971),,,,,
656,ಮಲ್ಲಿಕಾರ್ಜುಣ ಸೋ ಬಾಣಿ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892496973),,,,,
657,ಜಯರಾಮ ಬಸಪ್ಪ ಬಾಣಿ ಇವರ ದನದ ಶೇಡ್ಡ ನಿರ್ಮಾಣ,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
